Training: 2021-04-08 19:40:24,058-Speed 1870.79 samples/sec   Loss 42.1623   Epoch: 0   Global Step: 600   Required: 23 hours
Training: 2021-04-08 19:40:37,762-Speed 1868.08 samples/sec   Loss 41.9659   Epoch: 0   Global Step: 650   Required: 23 hours
Training: 2021-04-08 19:40:51,471-Speed 1867.52 samples/sec   Loss 41.7042   Epoch: 0   Global Step: 700   Required: 23 hours
Training: 2021-04-08 19:41:05,154-Speed 1870.97 samples/sec   Loss 41.4278   Epoch: 0   Global Step: 750   Required: 23 hours
Training: 2021-04-08 19:41:18,852-Speed 1868.90 samples/sec   Loss 41.1231   Epoch: 0   Global Step: 800   Required: 23 hours
Training: 2021-04-08 19:41:32,824-Speed 1832.23 samples/sec   Loss 40.8128   Epoch: 0   Global Step: 850   Required: 23 hours
Training: 2021-04-08 19:41:46,534-Speed 1867.35 samples/sec   Loss 40.5370   Epoch: 0   Global Step: 900   Required: 23 hours
Training: 2021-04-08 19:42:00,218-Speed 1870.87 samples/sec   Loss 40.2301   Epoch: 0   Global Step: 950   Required: 23 hours
Training: 2021-04-08 19:42:13,901-Speed 1870.94 samples/sec   Loss 39.8679   Epoch: 0   Global Step: 1000   Required: 23 hours
Training: 2021-04-08 19:42:27,598-Speed 1869.15 samples/sec   Loss 39.5707   Epoch: 0   Global Step: 1050   Required: 23 hours
Training: 2021-04-08 19:42:41,284-Speed 1870.56 samples/sec   Loss 39.2235   Epoch: 0   Global Step: 1100   Required: 23 hours
Training: 2021-04-08 19:42:54,966-Speed 1871.09 samples/sec   Loss 38.8480   Epoch: 0   Global Step: 1150   Required: 23 hours
Training: 2021-04-08 19:43:08,651-Speed 1870.72 samples/sec   Loss 38.5749   Epoch: 0   Global Step: 1200   Required: 23 hours
Training: 2021-04-08 19:43:22,341-Speed 1870.11 samples/sec   Loss 38.2067   Epoch: 0   Global Step: 1250   Required: 23 hours
Training: 2021-04-08 19:43:36,037-Speed 1869.21 samples/sec   Loss 37.9822   Epoch: 0   Global Step: 1300   Required: 23 hours
Training: 2021-04-08 19:43:49,722-Speed 1870.69 samples/sec   Loss 37.5183   Epoch: 0   Global Step: 1350   Required: 23 hours
Training: 2021-04-08 19:44:03,411-Speed 1870.11 samples/sec   Loss 37.1826   Epoch: 0   Global Step: 1400   Required: 23 hours
Training: 2021-04-08 19:44:17,117-Speed 1867.89 samples/sec   Loss 36.9601   Epoch: 0   Global Step: 1450   Required: 23 hours
Training: 2021-04-08 19:44:30,806-Speed 1870.23 samples/sec   Loss 36.4879   Epoch: 0   Global Step: 1500   Required: 23 hours
Training: 2021-04-08 19:44:44,509-Speed 1868.16 samples/sec   Loss 36.1269   Epoch: 0   Global Step: 1550   Required: 23 hours
Training: 2021-04-08 19:44:58,467-Speed 1834.18 samples/sec   Loss 35.8060   Epoch: 0   Global Step: 1600   Required: 23 hours
Training: 2021-04-08 19:45:12,441-Speed 1831.99 samples/sec   Loss 35.5110   Epoch: 0   Global Step: 1650   Required: 23 hours
Training: 2021-04-08 19:45:26,288-Speed 1848.84 samples/sec   Loss 35.0237   Epoch: 0   Global Step: 1700   Required: 23 hours
Training: 2021-04-08 19:45:39,975-Speed 1870.48 samples/sec   Loss 34.6223   Epoch: 0   Global Step: 1750   Required: 23 hours
Training: 2021-04-08 19:45:53,669-Speed 1869.48 samples/sec   Loss 34.3703   Epoch: 0   Global Step: 1800   Required: 23 hours
Training: 2021-04-08 19:46:07,355-Speed 1870.61 samples/sec   Loss 33.9699   Epoch: 0   Global Step: 1850   Required: 23 hours
Training: 2021-04-08 19:46:21,038-Speed 1871.02 samples/sec   Loss 33.6015   Epoch: 0   Global Step: 1900   Required: 23 hours
Training: 2021-04-08 19:46:34,723-Speed 1870.61 samples/sec   Loss 33.1892   Epoch: 0   Global Step: 1950   Required: 23 hours
Training: 2021-04-08 19:46:48,422-Speed 1868.86 samples/sec   Loss 32.8294   Epoch: 0   Global Step: 2000   Required: 23 hours
Training: 2021-04-08 19:47:02,122-Speed 1868.64 samples/sec   Loss 32.4952   Epoch: 0   Global Step: 2050   Required: 23 hours
Training: 2021-04-08 19:47:16,085-Speed 1833.46 samples/sec   Loss 32.0908   Epoch: 0   Global Step: 2100   Required: 23 hours
Training: 2021-04-08 19:47:29,773-Speed 1870.34 samples/sec   Loss 31.5399   Epoch: 0   Global Step: 2150   Required: 22 hours
Training: 2021-04-08 19:47:43,454-Speed 1871.18 samples/sec   Loss 31.3264   Epoch: 0   Global Step: 2200   Required: 22 hours
Training: 2021-04-08 19:47:57,413-Speed 1834.04 samples/sec   Loss 30.9373   Epoch: 0   Global Step: 2250   Required: 22 hours
Training: 2021-04-08 19:48:11,381-Speed 1832.78 samples/sec   Loss 30.4948   Epoch: 0   Global Step: 2300   Required: 22 hours
Training: 2021-04-08 19:48:25,342-Speed 1833.75 samples/sec   Loss 30.1507   Epoch: 0   Global Step: 2350   Required: 22 hours
Training: 2021-04-08 19:48:39,311-Speed 1832.73 samples/sec   Loss 29.7341   Epoch: 0   Global Step: 2400   Required: 22 hours
Training: 2021-04-08 19:48:53,276-Speed 1833.16 samples/sec   Loss 29.3944   Epoch: 0   Global Step: 2450   Required: 22 hours
Training: 2021-04-08 19:49:07,237-Speed 1833.75 samples/sec   Loss 29.0077   Epoch: 0   Global Step: 2500   Required: 22 hours
Training: 2021-04-08 19:49:21,202-Speed 1833.22 samples/sec   Loss 28.6534   Epoch: 0   Global Step: 2550   Required: 23 hours
Training: 2021-04-08 19:49:34,898-Speed 1869.11 samples/sec   Loss 28.3729   Epoch: 0   Global Step: 2600   Required: 22 hours
Training: 2021-04-08 19:49:48,589-Speed 1869.94 samples/sec   Loss 27.9169   Epoch: 0   Global Step: 2650   Required: 22 hours
Training: 2021-04-08 19:50:02,281-Speed 1869.77 samples/sec   Loss 27.7195   Epoch: 0   Global Step: 2700   Required: 22 hours
Training: 2021-04-08 19:50:15,970-Speed 1870.22 samples/sec   Loss 27.3249   Epoch: 0   Global Step: 2750   Required: 22 hours
Training: 2021-04-08 19:50:29,663-Speed 1869.61 samples/sec   Loss 26.9732   Epoch: 0   Global Step: 2800   Required: 22 hours
Training: 2021-04-08 19:50:43,354-Speed 1869.90 samples/sec   Loss 26.6370   Epoch: 0   Global Step: 2850   Required: 22 hours
Training: 2021-04-08 19:50:57,049-Speed 1869.32 samples/sec   Loss 26.3708   Epoch: 0   Global Step: 2900   Required: 22 hours
Training: 2021-04-08 19:51:10,760-Speed 1867.11 samples/sec   Loss 26.0461   Epoch: 0   Global Step: 2950   Required: 22 hours
Training: 2021-04-08 19:51:25,012-Speed 1796.31 samples/sec   Loss 25.7982   Epoch: 0   Global Step: 3000   Required: 22 hours
Training: 2021-04-08 19:51:38,704-Speed 1869.78 samples/sec   Loss 25.4951   Epoch: 0   Global Step: 3050   Required: 22 hours
Training: 2021-04-08 19:51:52,682-Speed 1831.49 samples/sec   Loss 25.2770   Epoch: 0   Global Step: 3100   Required: 22 hours
Training: 2021-04-08 19:52:06,371-Speed 1870.17 samples/sec   Loss 24.9571   Epoch: 0   Global Step: 3150   Required: 22 hours
Training: 2021-04-08 19:52:20,058-Speed 1870.48 samples/sec   Loss 24.7069   Epoch: 0   Global Step: 3200   Required: 22 hours
Training: 2021-04-08 19:52:33,830-Speed 1858.81 samples/sec   Loss 24.6724   Epoch: 0   Global Step: 3250   Required: 22 hours
Training: 2021-04-08 19:52:47,781-Speed 1835.14 samples/sec   Loss 24.3564   Epoch: 0   Global Step: 3300   Required: 22 hours
Training: 2021-04-08 19:53:01,731-Speed 1835.13 samples/sec   Loss 24.1117   Epoch: 0   Global Step: 3350   Required: 22 hours
Training: 2021-04-08 19:53:15,705-Speed 1831.99 samples/sec   Loss 23.9266   Epoch: 0   Global Step: 3400   Required: 22 hours
Training: 2021-04-08 19:53:29,970-Speed 1794.67 samples/sec   Loss 23.7202   Epoch: 0   Global Step: 3450   Required: 22 hours
Training: 2021-04-08 19:53:43,948-Speed 1831.51 samples/sec   Loss 23.5170   Epoch: 0   Global Step: 3500   Required: 22 hours
Training: 2021-04-08 19:53:57,917-Speed 1832.65 samples/sec   Loss 23.2865   Epoch: 0   Global Step: 3550   Required: 22 hours
Training: 2021-04-08 19:54:11,870-Speed 1834.81 samples/sec   Loss 23.2525   Epoch: 0   Global Step: 3600   Required: 22 hours
Training: 2021-04-08 19:54:25,814-Speed 1835.92 samples/sec   Loss 22.9410   Epoch: 0   Global Step: 3650   Required: 22 hours
Training: 2021-04-08 19:54:39,498-Speed 1870.89 samples/sec   Loss 22.9437   Epoch: 0   Global Step: 3700   Required: 22 hours
Training: 2021-04-08 19:54:53,189-Speed 1869.87 samples/sec   Loss 22.7952   Epoch: 0   Global Step: 3750   Required: 22 hours
Training: 2021-04-08 19:55:06,877-Speed 1870.35 samples/sec   Loss 22.4712   Epoch: 0   Global Step: 3800   Required: 22 hours
Training: 2021-04-08 19:55:20,563-Speed 1870.56 samples/sec   Loss 22.2834   Epoch: 0   Global Step: 3850   Required: 22 hours
Training: 2021-04-08 19:55:34,267-Speed 1868.06 samples/sec   Loss 22.2521   Epoch: 0   Global Step: 3900   Required: 22 hours
Training: 2021-04-08 19:55:47,969-Speed 1868.50 samples/sec   Loss 22.1453   Epoch: 0   Global Step: 3950   Required: 22 hours
Training: 2021-04-08 19:56:01,650-Speed 1871.20 samples/sec   Loss 22.0601   Epoch: 0   Global Step: 4000   Required: 22 hours
Training: 2021-04-08 19:56:15,354-Speed 1868.17 samples/sec   Loss 21.7640   Epoch: 0   Global Step: 4050   Required: 22 hours
Training: 2021-04-08 19:56:29,039-Speed 1870.63 samples/sec   Loss 21.7182   Epoch: 0   Global Step: 4100   Required: 22 hours
Training: 2021-04-08 19:56:42,756-Speed 1866.42 samples/sec   Loss 21.8610   Epoch: 0   Global Step: 4150   Required: 22 hours
Training: 2021-04-08 19:56:56,437-Speed 1871.19 samples/sec   Loss 21.5653   Epoch: 0   Global Step: 4200   Required: 22 hours
Training: 2021-04-08 19:57:10,241-Speed 1854.62 samples/sec   Loss 21.2636   Epoch: 0   Global Step: 4250   Required: 22 hours
Training: 2021-04-08 19:57:24,225-Speed 1830.61 samples/sec   Loss 21.1533   Epoch: 0   Global Step: 4300   Required: 22 hours
Training: 2021-04-08 19:57:38,017-Speed 1856.30 samples/sec   Loss 21.0399   Epoch: 0   Global Step: 4350   Required: 22 hours
